ARPA_CZK,MRR_25000_CZK,MRR_50000_CZK,MRR_100000_CZK,MRR_250000_CZK,MRR_500000_CZK,MRR_1000000_CZK
249,101,201,402,1005,2009,4017
349,72,144,287,717,1433,2866
450,56,112,223,556,1112,2223
499,51,101,201,502,1003,2005
699,36,72,144,358,716,1431
999,26,51,101,251,501,1002
1490,17,34,68,168,336,672
