penetration_pct,accounts,mrr_at_249,mrr_at_450,mrr_at_699,arr_at_450
0.05,590,146910,265500,412410,3186000
0.1,1180,293820,531000,824820,6372000
0.2,2359,587391,1061550,1648941,12738600
0.5,5898,1468602,2654100,4122702,31849200
1.0,11795,2936955,5307750,8244705,63693000
